You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CRAB, BLUE,,,,
Year,State,Species,Metric Tons,Pounds,$
1962,North Carolina,"CRAB, BLUE",5543.50,12221300.00,494161.00
1962,North Carolina,"CRAB, BLUE, SOFT AND PEELER",44.30,97700.00,34200.00
1962,South Carolina,"CRAB, BLUE",2874.70,6337600.00,292970.00
1962,Texas,"CRAB, BLUE",2028.80,4472800.00,288912.00
1962,Texas,"CRAB, BLUE, SOFT AND PEELER",2.50,5600.00,1120.00
1962,Virginia,"CRAB, BLUE",24345.00,53671000.00,2522585.00
1962,Virginia,"CRAB, BLUE, SOFT AND PEELER",611.10,1347300.00,428819.00
1963,Alabama,"CRAB, BLUE",588.20,1296800.00,74736.00
1963,Connecticut,"CRAB, BLUE",0.10,300.00,101.00
1963,Delaware,"CRAB, BLUE",236.90,522300.00,33630.00
1963,Delaware,"CRAB, BLUE, SOFT AND PEELER",1.50,3400.00,1207.00
1963,Florida East Coast,"CRAB, BLUE",3898.80,8595200.00,489925.00
1963,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,86.00
1963,Florida West Coast,"CRAB, BLUE",5964.10,13148400.00,644273.00
1963,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",1.80,4000.00,2000.00
1963,Georgia,"CRAB, BLUE",6577.20,14500000.00,596071.00
1963,Louisiana,"CRAB, BLUE",3620.60,7981900.00,447096.00
1963,Louisiana,"CRAB, BLUE, SOFT AND PEELER",149.10,328700.00,164350.00
1963,Maryland,"CRAB, BLUE",7681.20,16933900.00,1150989.00
1963,Maryland,"CRAB, BLUE, SOFT AND PEELER",956.20,2108100.00,752591.00
1963,Mississippi,"CRAB, BLUE",504.40,1112000.00,63633.00
1963,Mississippi,"CRAB, BLUE, SOFT AND PEELER",1.20,2700.00,466.00
1963,New Jersey,"CRAB, BLUE",390.50,861000.00,104794.00
1963,New Jersey,"CRAB, BLUE, SOFT AND PEELER",15.10,33200.00,6640.00
1963,North Carolina,"CRAB, BLUE",8543.70,18835400.00,945064.00
1963,North Carolina,"CRAB, BLUE, SOFT AND PEELER",37.80,83400.00,37530.00
1963,South Carolina,"CRAB, BLUE",4009.40,8839200.00,423026.00
1963,Texas,"CRAB, BLUE",1351.90,2980400.00,199608.00
1963,Texas,"CRAB, BLUE, SOFT AND PEELER",0.80,1800.00,360.00
1963,Virginia,"CRAB, BLUE",20928.30,46138500.00,2545537.00
1963,Virginia,"CRAB, BLUE, SOFT AND PEELER",430.40,948800.00,328798.00
1964,Alabama,"CRAB, BLUE",799.10,1761700.00,110335.00
1964,Connecticut,"CRAB, BLUE",0.00,100.00,30.00
1964,Delaware,"CRAB, BLUE",142.10,313300.00,32330.00
1964,Delaware,"CRAB, BLUE, SOFT AND PEELER",1.00,2300.00,950.00
1964,Florida East Coast,"CRAB, BLUE",3152.90,6950800.00,447623.00
1964,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",1.00,2100.00,717.00
1964,Florida West Coast,"CRAB, BLUE",6381.40,14068500.00,842704.00
1964,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",5.90,13000.00,6567.00
1964,Georgia,"CRAB, BLUE",5230.80,11531900.00,471819.00
1964,Louisiana,"CRAB, BLUE",2581.70,5691700.00,379214.00
1964,Louisiana,"CRAB, BLUE, SOFT AND PEELER",90.70,199900.00,126940.00
